Week,Region,State,Abbreviation,Disease,Total
196601,West,ALABAMA,AL,HEPATITIS A,5
196602,West,ALABAMA,AL,HEPATITIS A,3
196603,West,ALABAMA,AL,HEPATITIS A,2
196604,West,ALABAMA,AL,HEPATITIS A,4
196605,West,ALABAMA,AL,HEPATITIS A,7
196606,West,ALABAMA,AL,HEPATITIS A,4
196608,West,ALABAMA,AL,HEPATITIS A,16
196609,West,ALABAMA,AL,HEPATITIS A,3
196610,West,ALABAMA,AL,HEPATITIS A,14
196611,West,ALABAMA,AL,HEPATITIS A,7
196612,West,ALABAMA,AL,HEPATITIS A,8
196613,West,ALABAMA,AL,HEPATITIS A,6
196614,West,ALABAMA,AL,HEPATITIS A,6
196615,West,ALABAMA,AL,HEPATITIS A,7
196616,West,ALABAMA,AL,HEPATITIS A,19
196617,West,ALABAMA,AL,HEPATITIS A,4
196618,West,ALABAMA,AL,HEPATITIS A,17
196619,West,ALABAMA,AL,HEPATITIS A,4
196620,West,ALABAMA,AL,HEPATITIS A,11
196621,West,ALABAMA,AL,HEPATITIS A,5
196622,West,ALABAMA,AL,HEPATITIS A,3
196623,West,ALABAMA,AL,HEPATITIS A,9
196624,West,ALABAMA,AL,HEPATITIS A,3
196625,West,ALABAMA,AL,HEPATITIS A,10
196627,West,ALABAMA,AL,HEPATITIS A,7
196628,West,ALABAMA,AL,HEPATITIS A,2
196629,West,ALABAMA,AL,HEPATITIS A,2
196630,West,ALABAMA,AL,HEPATITIS A,2
196631,West,ALABAMA,AL,HEPATITIS A,1
196632,West,ALABAMA,AL,HEPATITIS A,6
196633,West,ALABAMA,AL,HEPATITIS A,5
196634,West,ALABAMA,AL,HEPATITIS A,5
196635,West,ALABAMA,AL,HEPATITIS A,4
196636,West,ALABAMA,AL,HEPATITIS A,3
196637,West,ALABAMA,AL,HEPATITIS A,5
196638,West,ALABAMA,AL,HEPATITIS A,3
196639,West,ALABAMA,AL,HEPATITIS A,8
196640,West,ALABAMA,AL,HEPATITIS A,6
196641,West,ALABAMA,AL,HEPATITIS A,7
196642,West,ALABAMA,AL,HEPATITIS A,4
196643,West,ALABAMA,AL,HEPATITIS A,10
196644,West,ALABAMA,AL,HEPATITIS A,7
196645,West,ALABAMA,AL,HEPATITIS A,5
196646,West,ALABAMA,AL,HEPATITIS A,12
196647,West,ALABAMA,AL,HEPATITIS A,5
196648,West,ALABAMA,AL,HEPATITIS A,12
196649,West,ALABAMA,AL,HEPATITIS A,4
196650,West,ALABAMA,AL,HEPATITIS A,11
196651,West,ALABAMA,AL,HEPATITIS A,1
196652,West,ALABAMA,AL,HEPATITIS A,7
196602,West,ALABAMA,AL,MEASLES,9
196603,West,ALABAMA,AL,MEASLES,2
196604,West,ALABAMA,AL,MEASLES,19
196605,West,ALABAMA,AL,MEASLES,11
196606,West,ALABAMA,AL,MEASLES,40
196607,West,ALABAMA,AL,MEASLES,10
196608,West,ALABAMA,AL,MEASLES,202
196609,West,ALABAMA,AL,MEASLES,130
196610,West,ALABAMA,AL,MEASLES,143
196611,West,ALABAMA,AL,MEASLES,114
196612,West,ALABAMA,AL,MEASLES,54
196613,West,ALABAMA,AL,MEASLES,15
196614,West,ALABAMA,AL,MEASLES,17
196615,West,ALABAMA,AL,MEASLES,12
196616,West,ALABAMA,AL,MEASLES,451
196617,West,ALABAMA,AL,MEASLES,38
196618,West,ALABAMA,AL,MEASLES,12
196619,West,ALABAMA,AL,MEASLES,16
196620,West,ALABAMA,AL,MEASLES,77
