Week,Region,State,Abbreviation,Disease,Total,Month
196601,West,ALABAMA,AL,HEPATITIS A,5,January
196602,West,ALABAMA,AL,HEPATITIS A,3,January
196603,West,ALABAMA,AL,HEPATITIS A,2,January
196604,West,ALABAMA,AL,HEPATITIS A,4,January
196605,West,ALABAMA,AL,HEPATITIS A,7,January
196606,West,ALABAMA,AL,HEPATITIS A,4,February
196608,West,ALABAMA,AL,HEPATITIS A,16,February
196609,West,ALABAMA,AL,HEPATITIS A,3,February
196610,West,ALABAMA,AL,HEPATITIS A,14,March
196611,West,ALABAMA,AL,HEPATITIS A,7,March
196612,West,ALABAMA,AL,HEPATITIS A,8,March
196613,West,ALABAMA,AL,HEPATITIS A,6,March
196614,West,ALABAMA,AL,HEPATITIS A,6,April
196615,West,ALABAMA,AL,HEPATITIS A,7,April
196616,West,ALABAMA,AL,HEPATITIS A,19,April
196617,West,ALABAMA,AL,HEPATITIS A,4,April
196618,West,ALABAMA,AL,HEPATITIS A,17,May
196619,West,ALABAMA,AL,HEPATITIS A,4,May
196620,West,ALABAMA,AL,HEPATITIS A,11,May
196621,West,ALABAMA,AL,HEPATITIS A,5,May
196622,West,ALABAMA,AL,HEPATITIS A,3,May
196623,West,ALABAMA,AL,HEPATITIS A,9,June
196624,West,ALABAMA,AL,HEPATITIS A,3,June
196625,West,ALABAMA,AL,HEPATITIS A,10,June
196627,West,ALABAMA,AL,HEPATITIS A,7,July
196628,West,ALABAMA,AL,HEPATITIS A,2,July
196629,West,ALABAMA,AL,HEPATITIS A,2,July
196630,West,ALABAMA,AL,HEPATITIS A,2,July
196631,West,ALABAMA,AL,HEPATITIS A,1,July
196632,West,ALABAMA,AL,HEPATITIS A,6,August
196633,West,ALABAMA,AL,HEPATITIS A,5,August
196634,West,ALABAMA,AL,HEPATITIS A,5,August
196635,West,ALABAMA,AL,HEPATITIS A,4,August
196636,West,ALABAMA,AL,HEPATITIS A,3,September
196637,West,ALABAMA,AL,HEPATITIS A,5,September
196638,West,ALABAMA,AL,HEPATITIS A,3,September
196639,West,ALABAMA,AL,HEPATITIS A,8,September
196640,West,ALABAMA,AL,HEPATITIS A,6,October
196641,West,ALABAMA,AL,HEPATITIS A,7,October
196642,West,ALABAMA,AL,HEPATITIS A,4,October
196643,West,ALABAMA,AL,HEPATITIS A,10,October
196644,West,ALABAMA,AL,HEPATITIS A,7,October
196645,West,ALABAMA,AL,HEPATITIS A,5,November
196646,West,ALABAMA,AL,HEPATITIS A,12,November
196647,West,ALABAMA,AL,HEPATITIS A,5,November
196648,West,ALABAMA,AL,HEPATITIS A,12,November
196649,West,ALABAMA,AL,HEPATITIS A,4,December
196650,West,ALABAMA,AL,HEPATITIS A,11,December
196651,West,ALABAMA,AL,HEPATITIS A,1,December
196652,West,ALABAMA,AL,HEPATITIS A,7,December
196602,West,ALABAMA,AL,MEASLES,9,January
196603,West,ALABAMA,AL,MEASLES,2,January
196604,West,ALABAMA,AL,MEASLES,19,January
196605,West,ALABAMA,AL,MEASLES,11,January
196606,West,ALABAMA,AL,MEASLES,40,February
196607,West,ALABAMA,AL,MEASLES,10,February
196608,West,ALABAMA,AL,MEASLES,202,February
196609,West,ALABAMA,AL,MEASLES,130,February
196610,West,ALABAMA,AL,MEASLES,143,March
196611,West,ALABAMA,AL,MEASLES,114,March
196612,West,ALABAMA,AL,MEASLES,54,March
196613,West,ALABAMA,AL,MEASLES,15,March
196614,West,ALABAMA,AL,MEASLES,17,April
196615,West,ALABAMA,AL,MEASLES,12,April
196616,West,ALABAMA,AL,MEASLES,451,April
196617,West,ALABAMA,AL,MEASLES,38,April
196618,West,ALABAMA,AL,MEASLES,12,May
196619,West,ALABAMA,AL,MEASLES,16,May
196620,West,ALABAMA,AL,MEASLES,77,May
196621,West,ALABAMA,AL,MEASLES,74,May
196622,West,ALABAMA,AL,MEASLES,14,May
196623,West,ALABAMA,AL,MEASLES,54,June
196624,West,ALABAMA,AL,MEASLES,45,June
196625,West,ALABAMA,AL,MEASLES,0,June
196626,West,ALABAMA,AL,MEASLES,4,June
196627,West,ALABAMA,AL,MEASLES,51,July
196628,West,ALABAMA,AL,MEASLES,8,July
196629,West,ALABAMA,AL,MEASLES,27,July
196630,West,ALABAMA,AL,MEASLES,11,July
196631,West,ALABAMA,AL,MEASLES,0,July
196632,West,ALABAMA,AL,MEASLES,3,August
196633,West,ALABAMA,AL,MEASLES,9,August
196634,West,ALABAMA,AL,MEASLES,4,August
196635,West,ALABAMA,AL,MEASLES,1,August
196636,West,ALABAMA,AL,MEASLES,3,September
196637,West,ALABAMA,AL,MEASLES,4,September
196638,West,ALABAMA,AL,MEASLES,1,September
196639,West,ALABAMA,AL,MEASLES,3,September
196640,West,ALABAMA,AL,MEASLES,5,October
196641,West,ALABAMA,AL,MEASLES,4,October
196642,West,ALABAMA,AL,MEASLES,1,October
196643,West,ALABAMA,AL,MEASLES,10,October
196644,West,ALABAMA,AL,MEASLES,10,October
196645,West,ALABAMA,AL,MEASLES,4,November
196646,West,ALABAMA,AL,MEASLES,13,November
196647,West,ALABAMA,AL,MEASLES,14,November
196648,West,ALABAMA,AL,MEASLES,10,November
196650,West,ALABAMA,AL,MEASLES,19,December
196651,West,ALABAMA,AL,MEASLES,1,December
196652,West,ALABAMA,AL,MEASLES,34,December
196601,West,ALABAMA,AL,RUBELLA,7,January
196602,West,ALABAMA,AL,RUBELLA,1,January
196603,West,ALABAMA,AL,RUBELLA,1,January
196606,West,ALABAMA,AL,RUBELLA,1,February
196607,West,ALABAMA,AL,RUBELLA,1,February
196608,West,ALABAMA,AL,RUBELLA,3,February
196609,West,ALABAMA,AL,RUBELLA,3,February
196610,West,ALABAMA,AL,RUBELLA,7,March
196612,West,ALABAMA,AL,RUBELLA,4,March
196613,West,ALABAMA,AL,RUBELLA,5,March
196614,West,ALABAMA,AL,RUBELLA,5,April
196615,West,ALABAMA,AL,RUBELLA,7,April
196616,West,ALABAMA,AL,RUBELLA,6,April
196617,West,ALABAMA,AL,RUBELLA,1,April
196618,West,ALABAMA,AL,RUBELLA,6,May
196619,West,ALABAMA,AL,RUBELLA,16,May
196620,West,ALABAMA,AL,RUBELLA,6,May
196621,West,ALABAMA,AL,RUBELLA,2,May
196622,West,ALABAMA,AL,RUBELLA,1,May
196623,West,ALABAMA,AL,RUBELLA,3,June
196624,West,ALABAMA,AL,RUBELLA,3,June
196625,West,ALABAMA,AL,RUBELLA,1,June
196626,West,ALABAMA,AL,RUBELLA,3,June
196627,West,ALABAMA,AL,RUBELLA,4,July
196628,West,ALABAMA,AL,RUBELLA,1,July
196629,West,ALABAMA,AL,RUBELLA,4,July
196631,West,ALABAMA,AL,RUBELLA,1,July
196634,West,ALABAMA,AL,RUBELLA,5,August
196644,West,ALABAMA,AL,RUBELLA,1,October
196648,West,ALABAMA,AL,RUBELLA,1,November
196652,West,ALABAMA,AL,RUBELLA,2,December
196602,Southeast,ALASKA,AK,HEPATITIS A,6,January
196604,Southeast,ALASKA,AK,HEPATITIS A,1,January
196605,Southeast,ALASKA,AK,HEPATITIS A,1,January
196606,Southeast,ALASKA,AK,HEPATITIS A,1,February
196607,Southeast,ALASKA,AK,HEPATITIS A,3,February
196609,Southeast,ALASKA,AK,HEPATITIS A,2,February
196610,Southeast,ALASKA,AK,HEPATITIS A,11,March
196611,Southeast,ALASKA,AK,HEPATITIS A,1,March
