4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Bulgaria,Postgraduate (research),Full-time,2021/22,North East,5.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,North West,10.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,5.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,East Midlands,10.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,West Midlands,5.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,East of England,10.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,London,25.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,South East,15.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,South West,5.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,The Open University in England,0.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,Wales,5.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,Scotland,15.0
All,Bulgaria,Postgraduate (research),Full-time,2021/22,Northern Ireland,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,North East,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,North West,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,East Midlands,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,West Midlands,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,East of England,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,London,5.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,South East,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,South West,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,The Open University in England,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,Wales,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,Scotland,0.0
All,Bulgaria,Postgraduate (research),Part-time,2021/22,Northern Ireland,0.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,North East,5.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,North West,10.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,10.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,East Midlands,10.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,West Midlands,10.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,East of England,5.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,London,90.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,South East,20.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,South West,10.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,The Open University in England,0.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Wales,15.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Scotland,20.0
All,Bulgaria,Postgraduate (taught),Full-time,2021/22,Northern Ireland,0.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,North East,0.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,North West,0.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,10.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,East Midlands,5.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,West Midlands,0.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,East of England,5.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,London,30.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,South East,10.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,South West,5.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,The Open University in England,0.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Wales,0.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Scotland,10.0
All,Bulgaria,Postgraduate (taught),Part-time,2021/22,Northern Ireland,0.0
All,Bulgaria,First degree,Full-time,2021/22,North East,60.0
All,Bulgaria,First degree,Full-time,2021/22,North West,300.0
All,Bulgaria,First degree,Full-time,2021/22,Yorkshire and The Humber,175.0
All,Bulgaria,First degree,Full-time,2021/22,East Midlands,145.0
All,Bulgaria,First degree,Full-time,2021/22,West Midlands,230.0
All,Bulgaria,First degree,Full-time,2021/22,East of England,240.0
All,Bulgaria,First degree,Full-time,2021/22,London,750.0
All,Bulgaria,First degree,Full-time,2021/22,South East,575.0
All,Bulgaria,First degree,Full-time,2021/22,South West,245.0
All,Bulgaria,First degree,Full-time,2021/22,The Open University in England,0.0
All,Bulgaria,First degree,Full-time,2021/22,Wales,120.0
All,Bulgaria,First degree,Full-time,2021/22,Scotland,610.0
All,Bulgaria,First degree,Full-time,2021/22,Northern Ireland,5.0
All,Bulgaria,First degree,Part-time,2021/22,North East,0.0
All,Bulgaria,First degree,Part-time,2021/22,North West,5.0
All,Bulgaria,First degree,Part-time,2021/22,Yorkshire and The Humber,5.0
All,Bulgaria,First degree,Part-time,2021/22,East Midlands,0.0
All,Bulgaria,First degree,Part-time,2021/22,West Midlands,15.0
All,Bulgaria,First degree,Part-time,2021/22,East of England,10.0
All,Bulgaria,First degree,Part-time,2021/22,London,25.0
All,Bulgaria,First degree,Part-time,2021/22,South East,15.0
All,Bulgaria,First degree,Part-time,2021/22,South West,10.0
All,Bulgaria,First degree,Part-time,2021/22,The Open University in England,0.0
All,Bulgaria,First degree,Part-time,2021/22,Wales,0.0
All,Bulgaria,First degree,Part-time,2021/22,Scotland,25.0
All,Bulgaria,First degree,Part-time,2021/22,Northern Ireland,0.0
